Model Name,Agent Name,Num Problems,Baseline Score,Agent Score,Difference Score,Baseline Accuracy,Agent Accuracy,Difference Accuracy,Test Statistic,p-value,p-value-text
gpt-35-turbo,retry,1000,596,686,90,0.596,0.686,0.09000000000000008,88.0111111111111,6.509e-21,< 0.001
gpt-35-turbo,keywords,1000,596,691,95,0.596,0.691,0.09499999999999997,93.01052631578948,5.202e-22,< 0.001
gpt-35-turbo,advice,1000,596,704,108,0.596,0.704,0.10799999999999998,106.00925925925925,7.339e-25,< 0.001
gpt-35-turbo,instructions,1000,596,706,110,0.596,0.706,0.10999999999999999,108.00909090909092,2.675e-25,< 0.001
gpt-35-turbo,explanation,1000,596,802,206,0.596,0.802,0.20600000000000007,204.00485436893203,2.792e-46,< 0.001
gpt-35-turbo,solution,1000,596,831,235,0.596,0.831,0.235,233.00425531914894,1.319e-52,< 0.001
gpt-35-turbo,composite,1000,596,827,231,0.596,0.827,0.23099999999999998,229.004329004329,9.828e-52,< 0.001
gpt-35-turbo,unredacted,1000,596,904,308,0.596,0.904,0.30800000000000005,306.00324675324674,1.621e-68,< 0.001
gpt-4,retry,1000,786,827,41,0.786,0.827,0.040999999999999925,39.02439024390244,4.185e-10,< 0.001
gpt-4,keywords,1000,786,832,46,0.786,0.832,0.04599999999999993,44.02173913043478,3.247e-11,< 0.001
gpt-4,advice,1000,786,840,54,0.786,0.84,0.05399999999999994,52.01851851851852,5.498e-13,< 0.001
gpt-4,instructions,1000,786,849,63,0.786,0.849,0.06299999999999994,61.01587301587302,5.662e-15,< 0.001
gpt-4,explanation,1000,786,876,90,0.786,0.876,0.08999999999999997,88.0111111111111,6.509e-21,< 0.001
gpt-4,solution,1000,786,925,139,0.786,0.925,0.139,137.0071942446043,1.201e-31,< 0.001
gpt-4,composite,1000,786,932,146,0.786,0.932,0.14600000000000002,144.0068493150685,3.541e-33,< 0.001
gpt-4,unredacted,1000,786,971,185,0.786,0.971,0.18499999999999994,183.0054054054054,1.070e-41,< 0.001
llama-2-7b-chat,retry,1000,297,372,75,0.297,0.372,0.07500000000000001,73.01333333333334,1.288e-17,< 0.001
llama-2-7b-chat,keywords,1000,297,364,67,0.297,0.364,0.067,65.01492537313433,7.433e-16,< 0.001
llama-2-7b-chat,advice,1000,297,374,77,0.297,0.374,0.07700000000000001,75.01298701298701,4.676e-18,< 0.001
llama-2-7b-chat,instructions,1000,297,377,80,0.297,0.377,0.08000000000000002,78.0125,1.024e-18,< 0.001
llama-2-7b-chat,explanation,1000,297,457,160,0.297,0.457,0.16000000000000003,158.00625,3.085e-36,< 0.001
llama-2-7b-chat,solution,1000,297,413,116,0.297,0.413,0.11599999999999999,114.00862068965517,1.297e-26,< 0.001
llama-2-7b-chat,composite,1000,297,427,130,0.297,0.427,0.13,128.0076923076923,1.118e-29,< 0.001
llama-2-7b-chat,unredacted,1000,297,495,198,0.297,0.495,0.198,196.0050505050505,1.555e-44,< 0.001
llama-2-70b-chat,retry,1000,376,481,105,0.376,0.481,0.10499999999999998,103.00952380952381,3.335e-24,< 0.001
llama-2-70b-chat,keywords,1000,376,564,188,0.376,0.564,0.18799999999999994,186.00531914893617,2.368e-42,< 0.001
llama-2-70b-chat,advice,1000,376,591,215,0.376,0.591,0.21499999999999997,213.0046511627907,3.036e-48,< 0.001
llama-2-70b-chat,instructions,1000,376,575,199,0.376,0.575,0.19899999999999995,197.00502512562815,9.406e-45,< 0.001
llama-2-70b-chat,explanation,1000,376,655,279,0.376,0.655,0.279,277.0035842293907,3.377e-62,< 0.001
llama-2-70b-chat,solution,1000,376,600,224,0.376,0.6,0.22399999999999998,222.00446428571428,3.305e-50,< 0.001
llama-2-70b-chat,composite,1000,376,672,296,0.376,0.672,0.29600000000000004,294.0033783783784,6.672e-66,< 0.001
llama-2-70b-chat,unredacted,1000,376,837,461,0.376,0.837,0.46099999999999997,459.00216919739694,7.926e-102,< 0.001
